OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,full_address,Latitude,Longitude
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,"I-44, EXIT 283 & US-69, Big Cabin, OK",36.5378651,-95.221358
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,"I-94, EXIT 143 & US-12 & SR-21, Tomah, WI",43.978576,-90.5040214
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,"I-8, EXIT 119 & SR-85, Gila Bend, AZ",32.9476184,-112.7144993
20,PILOT #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,"I-8, EXIT 119 & SR-85, Gila Bend, AZ",32.9476184,-112.7144993
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,"I-540, EXIT 12 & US-71, Fort Smith, AR",35.3880338,-94.4265011
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,"US-46, Columbia, NJ",4.099917,-72.9088133
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,"I-81, EXIT 273 & SR-703/SR-292, Mount Jackson, VA",39.4852636,-106.5366982
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919,"I-35,  EXIT 271, Jarrell, TX",30.8249094,-97.604454
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154,"I-85,  EXIT 22 & CR-138, Shorter, AL",32.3948615,-85.916902
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,"I-65, EXIT 50 & US-50 & US-31, Seymour, IN",33.5942438,-99.2603073
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,"I-29 & I-80, EXIT 3, Council Bluffs, IA",41.258841,-95.8519484
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51566666,"I-94, EXIT 182 & US-83, Sterling, ND",31.8151416,-101.0452671
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,"US-50, Montrose, CO",38.4375391,-108.2403855
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,"US-13, Laurel, DE",37.1000973,-84.1148273
